PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2007;04;22;00010;V;00012;V;00012;V;00010;V;00009;V;00009;V;00009;V;00010;V;00012;V;00011;V;00011;V;00011;V;00012;V;00010;V;00010;V;00009;V;00008;V;00008;V;00008;V;00008;V;00009;V;00009;V;00009;V;00009;V
28;079;4;1;28079004_1_38;2007;04;23;00009;V;00011;V;00010;V;00009;V;00009;V;00009;V;00009;V;00010;V;00012;V;00013;V;00012;V;00012;V;00010;V;00010;V;00010;V;00010;V;00009;V;00009;V;00009;V;00009;V;00009;V;00011;V;00016;V;00015;V
28;079;4;1;28079004_1_38;2007;04;24;00013;V;00011;V;00010;V;00011;V;00009;V;00009;V;00010;V;00012;V;00014;V;00016;V;00014;V;00013;V;00012;V;00011;V;00010;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00010;V;00014;V;00018;V
28;079;4;1;28079004_1_38;2007;04;25;00014;V;00013;V;00012;V;00011;V;00011;V;00011;V;00011;V;00012;V;00014;V;00013;V;00011;V;00009;V;00010;N;00009;V;00008;V;00008;V;00008;V;00008;V;00009;V;00009;V;00009;V;00009;V;00008;V;00008;V
28;079;4;1;28079004_1_38;2007;04;26;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00009;V;00009;V;00009;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00009;V;00009;V
28;079;4;1;28079004_1_38;2007;04;27;00010;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00009;V;00009;V;00009;V;00009;V;00009;V;00008;V;00009;V;00009;V;00008;V;00009;V;00008;V;00009;V;00008;V;00008;V
28;079;4;1;28079004_1_38;2007;04;28;00008;V;00008;V;00009;V;00008;V;00008;V;00009;V;00008;V;00008;V;00008;V;00008;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V
28;079;4;1;28079004_1_38;2007;04;29;00009;V;00010;V;00010;V;00009;V;00009;V;00009;V;00009;V;00009;V;00010;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V
28;079;4;1;28079004_1_38;2007;04;30;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V
28;079;4;6;28079004_6_48;2007;04;01;000.5;V;000.4;V;000.4;V;000.4;V;000.3;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.4;V
28;079;4;6;28079004_6_48;2007;04;02;000.3;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.4;V;000.5;V;000.6;V;000.7;V;000.6;V;000.6;V;000.6;V;000.5;V;000.4;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.5;V;000.5;V
28;079;4;6;28079004_6_48;2007;04;03;000.5;V;000.4;V;000.6;V;000.5;V;000.6;V;000.5;V;000.5;V;001.1;V;000.9;V;000.8;V;000.8;V;000.7;V;000.6;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.4;V;000.4;V;000.4;V;000.5;V;000.4;V;000.3;V
28;079;4;6;28079004_6_48;2007;04;04;000.4;V;000.3;V;000.4;V;000.6;V;000.6;V;000.6;V;000.6;V;000.7;V;001.0;V;001.2;V;000.9;V;001.0;V;000.8;V;000.5;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V
28;079;4;6;28079004_6_48;2007;04;05;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;V;000.4;V;000.4;V;000.5;V;000.4;V;000.3;V
28;079;4;6;28079004_6_48;2007;04;06;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.3;V;000.3;V;000.4;V;000.5;V;000.3;V;000.4;V;000.5;V;000.5;V;000.5;V
28;079;4;6;28079004_6_48;2007;04;07;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.4;V;000.3;V;000.4;V;000.5;V;000.5;V;000.7;V;000.6;V;000.5;V
28;079;4;6;28079004_6_48;2007;04;08;000.4;V;000.5;V;000.4;V;000.4;V;000.5;V;000.5;V;000.4;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.3;V;000.4;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.5;V;000.8;V;001.1;V;000.8;V
28;079;4;6;28079004_6_48;2007;04;09;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.6;V;000.7;V;000.5;V;000.4;V;000.5;V;000.4;V;000.5;V;000.5;V;000.5;V;000.5;V;000.5;V;000.5;V;000.5;V;000.6;V;000.6;V;000.6;V
28;079;4;6;28079004_6_48;2007;04;10;000.6;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.6;V;000.8;V;000.6;V;000.6;V;000.6;V;000.5;V;000.5;V;000.5;V;000.5;V;000.4;V;000.5;V;000.8;V;000.7;V;000.7;V;000.7;V;000.6;V
28;079;4;6;28079004_6_48;2007;04;11;000.5;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.7;V;000.8;V;000.7;V;000.7;V;000.6;V;000.5;V;000.5;V;000.6;V;000.5;V;000.5;V;000.4;V;000.6;V;000.5;V;000.5;V;000.6;V;000.4;V;000.4;V
28;079;4;6;28079004_6_48;2007;04;12;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.4;V;000.5;V;000.7;V;000.8;V;000.6;V;000.4;V;000.6;V;000.6;V;000.5;V;000.5;V;000.4;V;000.4;V;000.6;V;000.8;V;000.8;V;000.6;V;000.7;V;000.5;V
28;079;4;6;28079004_6_48;2007;04;13;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.6;V;000.8;V;000.9;V;000.9;V;000.7;V;000.6;V;000.6;V;000.5;V;000.6;V;000.4;V;000.5;V;000.5;V;000.5;V;000.5;V;000.4;V;000.5;V;000.6;V;000.4;V
28;079;4;6;28079004_6_48;2007;04;14;000.6;V;001.0;V;000.9;V;000.7;V;000.9;V;000.6;V;000.6;V;000.7;V;000.7;V;000.7;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.5;V;000.5;V;000.5;V
28;079;4;6;28079004_6_48;2007;04;15;000.5;V;000.7;V;000.6;V;000.6;V;000.6;V;000.5;V;000.4;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.4;V;000.3;V;000.4;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.5;V;000.6;V;000.6;V;000.5;V
28;079;4;6;28079004_6_48;2007;04;16;000.6;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.5;V;001.0;V;001.4;V;001.0;V;000.6;V;000.5;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.5;V;000.5;V;000.5;V;000.5;V;000.5;V
28;079;4;6;28079004_6_48;2007;04;17;000.6;V;000.5;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.5;V;000.6;V;000.6;V;000.5;V;000.5;V;000.4;V;000.4;V;000.5;V;000.4;V;000.4;V;000.5;V;000.7;V;000.4;V;000.7;V;000.6;V;000.4;V;000.5;V
28;079;4;6;28079004_6_48;2007;04;18;000.4;V;000.5;V;000.5;V;000.5;V;000.4;V;000.4;V;000.5;V;000.8;V;000.7;V;000.5;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.4;V;000.5;V;000.4;V;000.5;V;001.0;V;000.6;V;000.5;V
28;079;4;6;28079004_6_48;2007;04;19;000.4;V;000.4;V;000.3;V;000.4;V;000.5;V;000.5;V;000.5;V;000.7;V;000.9;V;001.7;V;001.4;V;000.6;V;000.5;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.4;V;000.5;V;000.5;V;000.7;V;001.0;V;001.1;V
28;079;4;6;28079004_6_48;2007;04;20;000.7;V;000.6;V;000.6;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.6;V;000.7;V;000.6;V;000.5;V;000.5;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.6;V;000.5;V;000.4;V
28;079;4;6;28079004_6_48;2007;04;21;000.5;V;000.5;V;000.4;V;000.4;V;000.5;V;000.4;V;000.4;V;000.5;V;000.7;V;000.9;V;000.4;V;000.4;V;000.3;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.5;V;000.6;V;000.4;V
28;079;4;6;28079004_6_48;2007;04;22;000.5;V;000.8;V;000.8;V;000.5;V;000.5;V;000.5;V;000.4;V;000.5;V;000.8;V;000.7;V;000.5;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V
28;079;4;6;28079004_6_48;2007;04;23;000.5;V;000.6;V;000.5;V;000.3;V;000.3;V;000.3;V;000.3;V;000.5;V;000.9;V;001.1;V;001.0;V;000.6;V;000.4;V;000.5;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.5;V;000.5;V;000.8;V;001.4;V;001.2;V
28;079;4;6;28079004_6_48;2007;04;24;000.8;V;000.4;V;000.3;V;000.5;V;000.3;V;000.3;V;000.4;V;000.7;V;001.1;V;001.6;V;001.1;V;000.5;V;000.4;V;000.5;V;000.4;V;000.3;V;000.3;V;000.3;V;000.4;V;000.5;V;000.5;V;000.7;V;001.0;V;001.5;V
28;079;4;6;28079004_6_48;2007;04;25;001.1;V;000.8;V;000.5;V;000.5;V;000.5;V;000.4;V;000.4;V;000.5;V;000.9;V;000.7;V;000.5;V;000.4;V;000.4;N;000.4;V;000.4;V;000.3;V;000.3;V;000.5;V;000.6;V;000.7;V;000.6;V;000.6;V;000.5;V;000.4;V
28;079;4;6;28079004_6_48;2007;04;26;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.6;V;000.6;V;000.5;V;000.5;V;000.4;V;000.3;V;000.3;V;000.4;V;000.4;V;000.3;V;000.4;V;000.3;V;000.4;V;000.5;V;000.6;V;000.6;V
28;079;4;6;28079004_6_48;2007;04;27;000.6;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.5;V;000.5;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.5;V;000.5;V;000.4;V;000.4;V;000.5;V;000.5;V;000.5;V;000.4;V;000.4;V
28;079;4;6;28079004_6_48;2007;04;28;000.4;V;000.4;V;000.6;V;000.5;V;000.3;V;000.6;V;000.4;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.3;V;000.4;V;000.5;V;000.5;V
28;079;4;6;28079004_6_48;2007;04;29;000.6;V;000.8;V;000.8;V;000.5;V;000.4;V;000.5;V;000.5;V;000.5;V;000.9;V;000.7;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.5;V;000.5;V;000.6;V;000.7;V;000.5;V
28;079;4;6;28079004_6_48;2007;04;30;000.5;V;000.3;V;000.4;V;000.5;V;000.4;V;000.4;V;000.3;V;000.3;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V
28;079;4;7;28079004_7_8;2007;04;01;00005;V;00002;V;00002;V;00002;V;00002;V;00008;V;00006;V;00003;V;00002;V;00002;V;00004;V;00006;V;00006;V;00006;V;00007;V;00003;V;00005;V;00005;V;00009;V;00002;V;00005;V;00005;V;00003;V;00003;V
28;079;4;7;28079004_7_8;2007;04;02;00003;V;00003;V;00004;V;00003;V;00003;V;00003;V;00009;V;00019;V;00046;V;00052;V;00056;V;00036;V;00034;V;00015;V;00010;V;00003;V;00002;V;00004;V;00003;V;00002;V;00003;V;00005;V;00005;V;00006;V
28;079;4;7;28079004_7_8;2007;04;03;00015;V;00002;V;00011;V;00041;V;00068;V;00050;V;00059;V;00236;V;00156;V;00079;V;00074;V;00069;V;00042;V;00008;V;00004;V;00004;V;00003;V;00003;V;00002;V;00004;V;00003;V;00003;V;00003;V;00003;V
28;079;4;7;28079004_7_8;2007;04;04;00003;V;00003;V;00004;V;00038;V;00032;V;00022;V;00039;V;00056;V;00047;V;00222;V;00096;V;00203;V;00124;V;00027;V;00015;V;00005;V;00005;V;00005;V;00003;V;00003;V;00003;V;00002;V;00002;V;00003;V
28;079;4;7;28079004_7_8;2007;04;05;00003;V;00003;V;00002;V;00003;V;00003;V;00003;V;00003;V;00002;V;00009;V;00002;V;00003;V;00002;V;00002;V;00003;V;00004;V;00002;V;00002;V;00005;V;00004;V;00002;V;00008;V;00006;V;00002;V;00003;V
28;079;4;7;28079004_7_8;2007;04;06;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00001;V;00001;V;00002;V;00002;V;00001;V;00002;V;00003;V;00002;V;00011;V;00002;V;00003;V;00006;V;00003;V;00003;V
28;079;4;7;28079004_7_8;2007;04;07;00003;V;00003;V;00002;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00005;V;00006;V;00006;V;00008;V;00007;V;00004;V;00004;V;00003;V;00009;V;00014;V;00014;V;00017;V;00011;V;00003;V
28;079;4;7;28079004_7_8;2007;04;08;00002;V;00006;V;00004;V;00002;V;00016;V;00010;V;00013;V;00003;V;00003;V;00003;V;00002;V;00006;V;00004;V;00004;V;00002;V;00003;V;00001;V;00002;V;00003;V;00006;V;00006;V;00057;V;00101;V;00069;V
28;079;4;7;28079004_7_8;2007;04;09;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00007;V;00023;V;00037;V;00023;V;00014;V;00017;V;00014;V;00014;V;00009;V;00008;V;00012;V;00007;V;00007;V;00009;V;00020;V;00010;V;00014;V
28;079;4;7;28079004_7_8;2007;04;10;00019;V;00003;V;00003;V;00003;V;00003;V;00003;V;00007;V;00014;V;00020;V;00062;V;00035;V;00036;V;00030;V;00016;V;00015;V;00018;V;00016;V;00013;V;00012;V;00036;V;00033;V;00027;V;00028;V;00013;V
28;079;4;7;28079004_7_8;2007;04;11;00009;V;00002;V;00003;V;00003;V;00003;V;00006;V;00002;V;00048;V;00054;V;00041;V;00049;V;00035;V;00024;V;00018;V;00023;V;00017;V;00017;V;00009;V;00019;V;00013;V;00012;V;00013;V;00005;V;00003;V
28;079;4;7;28079004_7_8;2007;04;12;00004;V;00009;V;00007;V;00007;V;00012;V;00004;V;00011;V;00033;V;00069;V;00110;V;00047;V;00012;V;00022;V;00034;V;00024;V;00013;V;00007;V;00004;V;00017;V;00057;V;00080;V;00040;V;00045;V;00013;V
28;079;4;7;28079004_7_8;2007;04;13;00003;V;00003;V;00003;V;00003;V;00003;V;00005;V;00036;V;00089;V;00089;V;00110;V;00062;V;00046;V;00038;V;00022;V;00019;V;00005;V;00017;V;00022;V;00008;V;00008;V;00002;V;00008;V;00024;V;00003;V
28;079;4;7;28079004_7_8;2007;04;14;00030;V;00108;V;00099;V;00083;V;00118;V;00051;V;00043;V;00064;V;00092;V;00078;V;00018;V;00006;V;00006;V;00006;V;00004;V;00002;V;00003;V;00002;V;00003;V;00003;V;00008;V;00008;V;00009;V;00003;V
28;079;4;7;28079004_7_8;2007;04;15;00003;V;00033;V;00026;V;00013;V;00049;V;00029;V;00006;V;00003;V;00003;V;00003;V;00001;V;00002;V;00005;V;00004;V;00003;V;00002;V;00003;V;00003;V;00003;V;00005;V;00012;V;00009;V;00005;V;00005;V
28;079;4;7;28079004_7_8;2007;04;16;00014;V;00006;V;00013;V;00005;V;00008;V;00008;V;00047;V;00200;V;00310;V;00154;V;00024;V;00026;V;00016;V;00009;V;00005;V;00003;V;00006;V;00013;V;00008;V;00017;V;00017;V;00006;V;00008;V;00015;V
28;079;4;7;28079004_7_8;2007;04;17;00061;V;00022;V;00004;V;00019;V;00039;V;00041;V;00056;V;00063;V;00013;V;00014;V;00011;V;00013;V;00011;V;00000;N;00022;V;00013;V;00013;V;00016;V;00048;V;00009;V;00034;V;00020;V;00007;V;00011;V
28;079;4;7;28079004_7_8;2007;04;18;00008;V;00021;V;00055;V;00075;V;00029;V;00027;V;00092;V;00150;V;00077;V;00024;V;00026;V;00026;V;00026;V;00024;V;00024;V;00013;V;00010;V;00011;V;00020;V;00014;V;00018;V;00116;V;00031;V;00020;V
28;079;4;7;28079004_7_8;2007;04;19;00008;V;00006;V;00009;V;00019;V;00078;V;00062;V;00073;V;00109;V;00160;V;00348;V;00245;V;00045;V;00040;V;00026;V;00020;V;00014;V;00011;V;00011;V;00017;V;00018;V;00026;V;00034;V;00079;V;00201;V
28;079;4;7;28079004_7_8;2007;04;20;00093;V;00061;V;00098;V;00058;V;00039;V;00047;V;00044;V;00017;V;00038;V;00046;V;00046;V;00040;V;00026;V;00029;V;00016;V;00010;V;00015;V;00013;V;00008;V;00007;V;00008;V;00022;V;00006;V;00004;V
28;079;4;7;28079004_7_8;2007;04;21;00014;V;00012;V;00004;V;00004;V;00038;V;00012;V;00011;V;00105;V;00164;V;00159;V;00014;V;00020;V;00011;V;00016;V;00016;V;00012;V;00012;V;00009;V;00007;V;00018;V;00016;V;00020;V;00025;V;00017;V
28;079;4;7;28079004_7_8;2007;04;22;00021;V;00110;V;00110;V;00047;V;00039;V;00044;V;00039;V;00066;V;00140;V;00099;V;00047;V;00009;V;00008;V;00014;V;00013;V;00009;V;00008;V;00007;V;00011;V;00013;V;00012;V;00014;V;00012;V;00010;V
28;079;4;7;28079004_7_8;2007;04;23;00019;V;00081;V;00069;V;00018;V;00004;V;00015;V;00040;V;00087;V;00179;V;00183;V;00146;V;00051;V;00035;V;00029;V;00027;V;00020;V;00017;V;00019;V;00016;V;00030;V;00018;V;00073;V;00208;V;00224;V
28;079;4;7;28079004_7_8;2007;04;24;00136;V;00019;V;00010;V;00091;V;00009;V;00012;V;00057;V;00165;V;00206;V;00290;V;00139;V;00045;V;00039;V;00031;V;00019;V;00012;V;00010;V;00013;V;00013;V;00026;V;00021;V;00055;V;00137;V;00255;V
28;079;4;7;28079004_7_8;2007;04;25;00162;V;00099;V;00058;V;00073;V;00060;V;00036;V;00041;V;00069;V;00166;V;00117;V;00056;V;00009;V;00026;N;00016;V;00010;V;00011;V;00006;V;00032;V;00033;V;00054;V;00043;V;00034;V;00023;V;00008;V
28;079;4;7;28079004_7_8;2007;04;26;00002;V;00002;V;00004;V;00002;V;00002;V;00003;V;00007;V;00043;V;00064;V;00046;V;00037;V;00034;V;00011;V;00008;V;00007;V;00025;V;00022;V;00011;V;00013;V;00006;V;00011;V;00022;V;00038;V;00049;V
28;079;4;7;28079004_7_8;2007;04;27;00072;V;00009;V;00013;V;00001;V;00012;V;00007;V;00005;V;00016;V;00019;V;00030;V;00038;V;00021;V;00019;V;00011;V;00017;V;00020;V;00018;V;00016;V;00019;V;00028;V;00017;V;00012;V;00012;V;00008;V
28;079;4;7;28079004_7_8;2007;04;28;00009;V;00013;V;00037;V;00022;V;00005;V;00052;V;00014;V;00008;V;00009;V;00016;V;00028;V;00020;V;00017;V;00012;V;00013;V;00005;V;00005;V;00007;V;00014;V;00012;V;00005;V;00005;V;00014;V;00023;V
28;079;4;7;28079004_7_8;2007;04;29;00030;V;00102;V;00076;V;00040;V;00027;V;00048;V;00041;V;00047;V;00088;V;00024;V;00012;V;00006;V;00007;V;00007;V;00005;V;00003;V;00003;V;00006;V;00009;V;00016;V;00016;V;00021;V;00024;V;00008;V
28;079;4;7;28079004_7_8;2007;04;30;00007;V;00003;V;00003;V;00009;V;00010;V;00016;V;00003;V;00008;V;00019;V;00017;V;00013;V;00012;V;00014;V;00014;V;00012;V;00009;V;00009;V;00009;V;00009;V;00011;V;00009;V;00008;V;00007;V;00005;V
